Id;Label;Rank
3152707;Abelmoschus esculentus;SPECIES
2684876;Abies;GENUS
2558224;Absidia;GENUS
5250615;Absidia glauca;SPECIES
2979775;Acacia mearnsii;SPECIES
5415455;Acanthus mollis;SPECIES
6102;Acaridae;FAMILY
7384897;Acaryophrya collaris;SPECIES
2560108;Acaulospora;GENUS
2560113;Acaulospora laevis;SPECIES
3301;Acaulosporaceae;FAMILY
4728;Acetobacteraceae;FAMILY
2308383;Achaeta;GENUS
8265293;Achaeta affinis;SPECIES
8391327;Achaeta bifollicula;SPECIES
4409927;Achaeta cf. bohemica PDW-2010;SPECIES
8750602;Achaeta unibulba;SPECIES
3119995;Achillea;GENUS
9221087;Achillea millefolium;SPECIES
120786288;Acidiferrobacteraceae;FAMILY
113956867;Acidiferrobacterales;ORDER
3848;Acidimicrobiaceae;FAMILY
8368729;Acidimicrobiales;ORDER
102523866;Acidimicrobiia;CLASS
3225859;Acidimicrobium;GENUS
3221548;Acidisphaera;GENUS
7462160;Aciditerrimonas;GENUS
25;Acidobacteria;PHYLUM
3811;Acidobacteriaceae;FAMILY
1197;Acidobacteriales;ORDER
25C1;Acidobacteriia;CLASS
3229010;Acidobacterium;GENUS
8071;Acidothermaceae;FAMILY
119722320;Acidothermales;ORDER
3224612;Acidothermus;GENUS
3220140;Acidovorax;GENUS
7939212;Acineria uncinata;SPECIES
7350821;Acineta flava;SPECIES
3223263;Acinetobacter;GENUS
2283761;Acrobeles;GENUS
2283754;Acrobeloides;GENUS
7805141;Acropisthiidae;FAMILY
7738789;Acropisthium mutabile;SPECIES
4790;Acrospermaceae;FAMILY
1261;Acrospermales;ORDER
9044526;Acrospermum;GENUS
8657939;Acrospermum gramineum;SPECIES
3189694;Actinidia chinensis;SPECIES
8066383;Actinoallomurus;GENUS
103018377;Actinobacteria;PHYLUM
7465520;Actinobolina vorax;SPECIES
3224487;Actinocatenispora;GENUS
6342;Actinochloridaceae;FAMILY
2641638;Actinochloris;GENUS
3225210;Actinomadura;GENUS
9407921;Actinomyces;GENUS
3812;Actinomycetaceae;FAMILY
1198;Actinomycetales;ORDER
3224204;Actinoplanes;GENUS
4902454;Actinospicaceae;FAMILY
2077398;Acyrthosiphon;GENUS
2077503;Acyrthosiphon pisum;SPECIES
3228858;Adhaeribacter;GENUS
1000789;Adineta;GENUS
1000794;Adineta vaga;SPECIES
3878;Adinetida;ORDER
3878C1;Adinetidae;FAMILY
3034619;Aegopodium;GENUS
3224336;Aeromicrobium;GENUS
7736279;Aeromicrobium panaciterrae;SPECIES
1499;Agaricales;ORDER
186;Agaricomycetes;CLASS
1143;Agaricostilbales;ORDER
274;Agaricostilbomycetes;CLASS
5401673;Ageratum conyzoides;SPECIES
5401760;Ageratum houstonianum;SPECIES
3001953;Agrimonia;GENUS
3001959;Agrimonia pubescens;SPECIES
1162125;Agriotes;GENUS
4308843;Agriotes sordidus;SPECIES
3225265;Agromyces;GENUS
2705193;Agropyron;GENUS
2706653;Agropyron repens;SPECIES
2706434;Agrostis;GENUS
2706490;Agrostis capillaris;SPECIES
2706439;Agrostis palustris;SPECIES
2706435;Agrostis stolonifera;SPECIES
2596;Alaimidae;FAMILY
2282770;Alaimus;GENUS
5437;Alcaligenaceae;FAMILY
7890713;Alchemilla vulgaris;SPECIES
4652288;Aleuroglyphus;GENUS
5860704;Aleuroglyphus ovatus;SPECIES
2945087;Alhagi;GENUS
2945106;Alhagi persarum;SPECIES
2128073;Alicorhagia;GENUS
2825;Alicorhagiidae;FAMILY
2856126;Allium cardiostemon;SPECIES
2857697;Allium cepa;SPECIES
2856681;Allium sativum;SPECIES
7995218;Allolobophora;GENUS
4410938;Allolobophora chlorotica;SPECIES
9426362;Allovahlkampfia;GENUS
2876099;Alnus;GENUS
2777937;Aloe plicatilis;SPECIES
197;Alphaproteobacteria;CLASS
4901674;Altererythrobacter;GENUS
9330269;Altererythrobacter buctense;SPECIES
7388975;Alternaria;GENUS
3064;Amaranthaceae;FAMILY
3085074;Amaranthus;GENUS
4378324;Amastigomonas;GENUS
4378326;Amastigomonas mutabilis;SPECIES
2560215;Ambispora;GENUS
2560223;Ambispora fennica;SPECIES
2560216;Ambispora gerdemannii;SPECIES
3303;Ambisporaceae;FAMILY
3220999;Aminobacter;GENUS
3034182;Ammi majus;SPECIES
4202;Amoebidiaceae;FAMILY
3210246;Amoebidium;GENUS
3210250;Amoebidium parasiticum;SPECIES
7509337;Amoebozoa;PHYLUM
2282756;Amphidelus;GENUS
2282769;Amphidelus cf. pusillus 9 Mile 3-17 LP-02;SPECIES
7891174;Amphileptidae;FAMILY
7834375;Amphileptus;GENUS
7521030;Amphimallon;GENUS
1063891;Amphimallon solstitiale;SPECIES
6145343;Amphisiella binucleata;SPECIES
7764311;Amphisiella magnigranulosa;SPECIES
8034554;Amphisiella polycirrata;SPECIES
7981328;Amphisiella quadrinucleata;SPECIES
7928292;Amphisiella raptans;SPECIES
7405898;Amphisiella vitiphila;SPECIES
7959387;Amphisiellidae;FAMILY
8053161;Amphisiellides illuvialis;SPECIES
7842856;Amplimerlinius;GENUS
4556265;Amplimerlinius icarus;SPECIES
3224850;Amycolatopsis;GENUS
3224882;Amycolatopsis tolypomycina;SPECIES
4903399;Anaerolineaceae;FAMILY
298;Anaerolineae;CLASS
8229939;Anaerolineales;ORDER
3220545;Anaeromyxobacter;GENUS
115441182;Anaeromyxobacteraceae;FAMILY
6509;Anatonchidae;FAMILY
2282576;Anatonchus;GENUS
2282578;Anatonchus tridentatus;SPECIES
4089;Ancylistaceae;FAMILY
3034645;Anethum;GENUS
5371808;Angelica archangelica;SPECIES
5371818;Angelica sylvestris;SPECIES
2553;Anguinidae;FAMILY
7607957;Angustibacter;GENUS
7892291;Angustibacter luteus;SPECIES
7943637;Anoplophrya;GENUS
8254023;Anoplophrya marylandensis;SPECIES
8019241;Anoplophryidae;FAMILY
8167254;Anteholosticha;GENUS
7784418;Anteholosticha gracilis;SPECIES
8090887;Anteholosticha monilata;SPECIES
8167254C1;Anteholosticha rectangula;SPECIES
9223407;Anthonomus;GENUS
5013559;Anthonomus grandis;SPECIES
5371743;Anthriscus caucalis;SPECIES
6027243;Anthriscus nemorosa;SPECIES
5371742;Anthriscus sylvestris;SPECIES
2824;Anystidae;FAMILY
2131873;Anystis;GENUS
3202934;Aphanomyces;GENUS
6492;Aphelenchidae;FAMILY
2284354;Aphelenchoides;GENUS
2566;Aphelenchoididae;FAMILY
2284394;Aphelenchus;GENUS
2284396;Aphelenchus avenae;SPECIES
3042;Aphididae;FAMILY
1269075;Aphidius;GENUS
1269085;Aphidius ervi;SPECIES
2049562;Aphis;GENUS
9313493;Aphodius;GENUS
4424949;Aphodius johnsoni;SPECIES
2024716;Aphrodes;GENUS
2024738;Aphrodes hamiltoni;SPECIES
6720;Apiaceae;FAMILY
1351;Apiales;ORDER
4334;Apidae;FAMILY
7239018;Apiotrichum;GENUS
3295536;Apiotrichum porosum;SPECIES
7799978;Apis;GENUS
1341976;Apis mellifera;SPECIES
3034812;Apium;GENUS
8181547;Apoamphisiella tihanyiensis;SPECIES
7390440;Apobryophyllum terricola;SPECIES
7535686;Apocolpoda africana;SPECIES
6701;Apocynaceae;FAMILY
2282747;Aporcelaimellus;GENUS
5986;Aporcelaimidae;FAMILY
2307755;Aporrectodea;GENUS
2307759;Aporrectodea caliginosa;SPECIES
2307757;Aporrectodea longa;SPECIES
2307760;Aporrectodea rosea;SPECIES
3094355;Aposeris foetida;SPECIES
9669912;Apusomonadida;ORDER
4378322;Apusomonadidae;FAMILY
4892213;Apusomonas;GENUS
4892213C1;Apusomonas proboscidea;SPECIES
103062177;Apusozoa;PHYLUM
6716;Aquifoliaceae;FAMILY
7226638;Aquifoliales;ORDER
5353770;Arachis hypogaea;SPECIES
367;Arachnida;CLASS
3285828;Arachnula;GENUS
